Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
1.365625000000e-02,6.011434379232e+02,2.220486062792e-02,8.637822085444e-03,2.621582453997e-03,2.021611974476e-01,2.027640986434e-02,7.436622063120e-01,2.355296845661e+04
1.366250000000e-02,6.039934263506e+02,2.213091658227e-02,8.753842951170e-03,2.649484058915e-03,2.019066994442e-01,2.045018546632e-02,7.436679055344e-01,2.440368796276e+04
1.366875000000e-02,6.068601940358e+02,2.205650674728e-02,8.871031457953e-03,2.677593812509e-03,2.016502969731e-01,2.062478804319e-02,7.436737268144e-01,2.528887499393e+04
1.367500000000e-02,6.097437317469e+02,2.198163063429e-02,8.989393785900e-03,2.705912210796e-03,2.013919855121e-01,2.080021553883e-02,7.436796703796e-01,2.621008916814e+04
1.368125000000e-02,6.126440297487e+02,2.190628776664e-02,9.108936098563e-03,2.734439743676e-03,2.011317605939e-01,2.097646587895e-02,7.436857364346e-01,2.716896620541e+04
1.368750000000e-02,6.155610778146e+02,2.183047767964e-02,9.229664542858e-03,2.763176894944e-03,2.008696178060e-01,2.115353697163e-02,7.436919251609e-01,2.816722139968e+04
1.369375000000e-02,6.184948652388e+02,2.175419991470e-02,9.351585246525e-03,2.792124141574e-03,2.006055527378e-01,2.133142670230e-02,7.436982365223e-01,2.920665131388e+04
1.369687500000e-02,6.199680449005e+02,2.171588539989e-02,9.412995192761e-03,2.806676765807e-03,2.004727973800e-01,2.142067803014e-02,7.437014383897e-01,2.974253242169e+04
1.370000000000e-02,6.214454162521e+02,2.167745352386e-02,9.474706490379e-03,2.821282228672e-03,2.003395585082e-01,2.151013364817e-02,7.437046710418e-01,3.028943999209e+04
1.370312500000e-02,6.229269778118e+02,2.163890423324e-02,9.536719905734e-03,2.835940588400e-03,2.002058355905e-01,2.159979328634e-02,7.437079344911e-01,3.084762703134e+04
1.370625000000e-02,6.244127280698e+02,2.160023747541e-02,9.599036204108e-03,2.850651902843e-03,2.000716280982e-01,2.168965667362e-02,7.437112287485e-01,3.141735186976e+04
1.370937500000e-02,6.259026654883e+02,2.156145319845e-02,9.661656149710e-03,2.865416229471e-03,1.999369355060e-01,2.177972353799e-02,7.437145538235e-01,3.199887888293e+04
1.371250000000e-02,6.273967885021e+02,2.152255135116e-02,9.724580505669e-03,2.880233625373e-03,1.998017572920e-01,2.186999360652e-02,7.437179097241e-01,3.259247878280e+04
1.371562500000e-02,6.288950955189e+02,2.148353188306e-02,9.787810034033e-03,2.895104147256e-03,1.996660929379e-01,2.196046660534e-02,7.437212964567e-01,3.319842881653e+04
1.371875000000e-02,6.303975849195e+02,2.144439474440e-02,9.851345495769e-03,2.910027851449e-03,1.995299419286e-01,2.205114225965e-02,7.437247140263e-01,3.381701294631e+04
