Pos,T,H2,O2,N2,H2O,Q
9.837500000000e-03,3.992184156983e+02,3.962746397491e-03,2.254067870729e-01,7.604756352286e-01,1.010085601793e-02,4.192023611295e+00
9.884375000000e-03,4.015083062105e+02,3.932324586637e-03,2.252461962989e-01,7.604328110987e-01,1.033323700678e-02,4.477478209192e+00
9.931250000000e-03,4.038428889175e+02,3.901811525352e-03,2.250820132486e-01,7.603895165813e-01,1.056973880627e-02,4.782821999740e+00
9.978125000000e-03,4.062227152389e+02,3.871209388464e-03,2.249141878368e-01,7.603457688563e-01,1.081039163632e-02,5.109500255732e+00
1.002500000000e-02,4.086483324908e+02,3.840520368655e-03,2.247426702200e-01,7.603015858704e-01,1.105522469017e-02,5.459070489637e+00
1.007187500000e-02,4.111202835528e+02,3.809746674946e-03,2.245674108220e-01,7.602569863347e-01,1.130426611383e-02,5.833211984250e+00
1.011875000000e-02,4.136391065375e+02,3.778890531140e-03,2.243883603592e-01,7.602119897192e-01,1.155754298719e-02,6.233736218769e+00
1.016562500000e-02,4.162053344664e+02,3.747954174265e-03,2.242054698656e-01,7.601666162475e-01,1.181508130668e-02,6.662598283221e+00
1.021250000000e-02,4.188194949494e+02,3.716939852988e-03,2.240186907165e-01,7.601208868898e-01,1.207690596959e-02,7.121909384755e+00
1.025937500000e-02,4.214821098707e+02,3.685849826032e-03,2.238279746530e-01,7.600748233553e-01,1.234304076005e-02,7.613950561165e+00
1.030625000000e-02,4.241936950814e+02,3.654686360578e-03,2.236332738044e-01,7.600284480829e-01,1.261350833673e-02,8.141187730411e+00
1.035312500000e-02,4.269547600985e+02,3.623451730657e-03,2.234345407109e-01,7.599817842312e-01,1.288833022225e-02,8.706288219884e+00
1.040000000000e-02,4.297658078122e+02,3.592148218334e-03,2.232317285177e-01,7.599348562548e-01,1.316752680450e-02,9.312138935031e+00
1.041250000000e-02,4.305239714502e+02,3.583789057990e-03,2.231769421907e-01,7.599223000894e-01,1.324272910431e-02,9.481044734684e+00
1.042500000000e-02,4.312857588754e+02,3.575425200663e-03,2.231218588024e-01,7.599097273379e-01,1.331824673539e-02,9.653150255925e+00
1.045000000000e-02,4.328202274883e+02,3.558683708371e-03,2.230108023092e-01,7.598845351856e-01,1.347022423745e-02,1.000718156420e+01
1.047500000000e-02,4.343692751530e+02,3.541923955134e-03,2.228985510585e-01,7.598592830253e-01,1.362346354233e-02,1.037477487777e+01
1.050000000000e-02,4.359329757504e+02,3.525146289756e-03,2.227850980102e-01,7.598339747395e-01,1.377796726570e-02,1.075648404467e+01
1.055000000000e-02,4.391044546681e+02,3.491539281836e-03,2.225545864988e-01,7.597832068486e-01,1.409074964707e-02,1.156427860469e+01
1.057500000000e-02,4.407124284506e+02,3.474709993610e-03,2.224374987096e-01,7.597577537495e-01,1.424905042532e-02,1.199181669845e+01
1.060000000000e-02,4.423353435518e+02,3.457864186255e-03,2.223191816190e-01,7.597322609859e-01,1.440862508617e-02,1.243594076739e+01
1.062500000000e-02,4.439732706141e+02,3.441002208106e-03,2.221996284289e-01,7.597067327924e-01,1.456947576946e-02,1.289734052253e+01
1.065000000000e-02,4.456262795997e+02,3.424124407119e-03,2.220788323861e-01,7.596811734547e-01,1.473160451953e-02,1.337673707562e+01
1.067500000000e-02,4.472944397807e+02,3.407231130803e-03,2.219567867839e-01,7.596555873081e-01,1.489501328544e-02,1.387488452473e+01
1.070000000000e-02,4.489778197298e+02,3.390322726158e-03,2.218334849620e-01,7.596299787372e-01,1.505970392109e-02,1.439257162746e+01
1.072500000000e-02,4.506764873106e+02,3.373399539606e-03,2.217089203079e-01,7.596043521746e-01,1.522567818546e-02,1.493062356811e+01
1.075000000000e-02,4.523905096689e+02,3.356461916926e-03,2.215830862569e-01,7.595787121008e-01,1.539293774290e-02,1.548990382472e+01
1.077500000000e-02,4.541199532237e+02,3.339510203190e-03,2.214559762931e-01,7.595530630426e-01,1.556148416341e-02,1.607131614226e+01
1.080000000000e-02,4.558648836588e+02,3.322544742695e-03,2.213275839497e-01,7.595274095726e-01,1.573131892298e-02,1.667580661853e+01
1.082500000000e-02,4.576253659146e+02,3.305565878908e-03,2.211979028098e-01,7.595017563084e-01,1.590244340398e-02,1.730436590998e+01
1.085000000000e-02,4.594014641804e+02,3.288573954393e-03,2.210669265072e-01,7.594761079113e-01,1.607485889555e-02,1.795803156500e+01
1.087500000000e-02,4.611932418864e+02,3.271569310756e-03,2.209346487260e-01,7.594504690861e-01,1.624856659409e-02,1.863789049280e+01
1.090000000000e-02,4.630007616970e+02,3.254552288583e-03,2.208010632022e-01,7.594248445794e-01,1.642356760371e-02,1.934508157654e+01
1.092500000000e-02,4.648240855032e+02,3.237523227375e-03,2.206661637234e-01,7.593992391791e-01,1.659986293674e-02,2.008079844002e+01
1.095000000000e-02,4.666632744165e+02,3.220482465494e-03,2.205299441296e-01,7.593736577136e-01,1.677745351433e-02,2.084629237799e+01
1.097500000000e-02,4.685183887619e+02,3.203430340100e-03,2.203923983136e-01,7.593481050504e-01,1.695634016699e-02,2.164287546053e+01
